Entry Point: 0x7FF617C90000
GObjects: 0x7FF61A139818
GNames: 0x7FF61A1397D0

Processing Package: Core

ScriptStruct: Rotator                                          - Instance: 0x2A2CFCA4D00
Class: ListenServer_TA                                         - Instance: 0x2A3D01AB000
Class: MatchAdminComponent_TA                                  - Instance: 0x2A3D01AAC00
Class: SpawnDelayConfig_TA                                     - Instance: 0x2A3D01AA800
Class: SeqEvent_GameEventStateChanged_TA                       - Instance: 0x2A3D01AA400
Class: MatchType_Private_TA                                    - Instance: 0x2A3D01AA000
Class: MatchType_FaceIt_TA                                     - Instance: 0x2A3D01A9C00
Class: MatchType_Lan_TA                                        - Instance: 0x2A3D01A9800
Class: RPC_ChatLog_TA                                          - Instance: 0x2A3D01A9400
Class: PlayerSpawnTicket_TA                                    - Instance: 0x2A3D01A8800
Class: PlayerRemovedEvent_TA                                   - Instance: 0x2A3D01A8400
Class: GameEventFinishedState_TA                               - Instance: 0x2A3D016FC00
Class: MatchType_FTE_TA                                        - Instance: 0x2A3D016F800
Class: SpawnPointCluster_TA                                    - Instance: 0x2A3D016F000
Class: StatCategory_TA                                         - Instance: 0x2A3D016EC00
Class: ServerPerformanceTracker_TA                             - Instance: 0x2A3D016E800
Class: MatchBroadcastComponent_TA                              - Instance: 0x2A3D016E400
Class: GameEvent_Soccar_SubRules_TA                            - Instance: 0x2A3D016E000
Class: GoalIndicator_TA                                        - Instance: 0x2A3D016DC00
Class: StatTitle_TA                                            - Instance: 0x2A3D016D800
Class: OnlineGameSkill_TA                                      - Instance: 0x2A3D016D400
Class: PerfMetrics_TA                                          - Instance: 0x2A3D016D000
Class: RPC_MatchComplete_TA                                    - Instance: 0x2A3D016C800
Class: SeqEvent_GameTimeChanged_TA                             - Instance: 0x2A3D011FC00
Class: SeqEvent_GoalScored_TA                                  - Instance: 0x2A3D011F800
Class: SeqEvent_ScoreChanged_TA                                - Instance: 0x2A3D011F400
Class: SeqEvent_CountDownStart_TA                              - Instance: 0x2A3D011EC00
Class: GameEventMatchActive_TA                                 - Instance: 0x2A3D011E800
Class: SeqEvent_CountDownCompleted_TA                          - Instance: 0x2A3D011E400
Class: SeqEvent_RoundStart_TA                                  - Instance: 0x2A3D011E000
Class: SeqEvent_LiveReplay_TA                                  - Instance: 0x2A3D011DC00
Class: SeqEvent_PodiumStart_TA                                 - Instance: 0x2A3D011D800
Class: Replay_Soccar_TA                                        - Instance: 0x2A3D011D400
Class: GameEvent_Football_TA                                   - Instance: 0x2A3D011CC00
Class: GameEvent_FTE_TA                                        - Instance: 0x2A3D011C400
Class: Save_TA                                                 - Instance: 0x2A3D00C7400
Class: SaveData_GameEditor_TA                                  - Instance: 0x2A3D00C7800
Class: IGetRoundNumber_TA                                      - Instance: 0x2A3D00C6C00
Class: GameEvent_GodBall_TA                                    - Instance: 0x2A3D00C6800
Class: StatFactory_KnockOut_TA                                 - Instance: 0x2A3D00C5C00
Class: VehiclePickup_Item_TA                                   - Instance: 0x2A3D00C5800
Class: PlayerStart_Platform_TA                                 - Instance: 0x2A3D00C5400
Class: GameEvent_Lobby_TA                                      - Instance: 0x2A3D00C5000
Class: GameEvent_PostGameLobby_TA                              - Instance: 0x2A3D00C4C00
Class: SimilarSeasonLogos_TA                                   - Instance: 0x2A3D00C4800
Class: GameEvent_Soccar_SubRules_Basketball_TA                 - Instance: 0x2A3D0077C00
Class: GameEvent_Soccar_SubRules_Items_TA                      - Instance: 0x2A3D0077800
Class: PlayerItemDispenser_TA                                  - Instance: 0x2A3D0077400
Class: GameEvent_Training_Goalie_TA                            - Instance: 0x2A3D0077000
Class: GameEvent_Training_Aerial_TA                            - Instance: 0x2A3D0076C00
Class: GameEvent_Training_Striker_TA                           - Instance: 0x2A3D0076800
Class: TutorialSave_TA                                         - Instance: 0x2A3D0076400
Class: UIStrings_TA                                            - Instance: 0x2A3D0076000
Class: TrainingEditorMirror_TA                                 - Instance: 0x2A3D0074800
Class: TrainingEditorManipulationConfig_TA                     - Instance: 0x2A3D0074400
Class: TrainingEditorNavigationConfig_TA                       - Instance: 0x2A3D0043C00
Class: SaveData_GameEditor_Training_TA                         - Instance: 0x2A3D0043800
Class: TrainingEditorMetrics_TA                                - Instance: 0x2A3D0043400
Class: TrainingEditorData_TA                                   - Instance: 0x2A3D0043000
Class: TrainingPackProgress_TA                                 - Instance: 0x2A3D0042C00
Class: TrainingProgressSave_TA                                 - Instance: 0x2A3D0042800
Class: IStartRound_TA                                          - Instance: 0x2A3D0042000
Class: ProductAssetCache_TA                                    - Instance: 0x2A3D0041000
Class: MapSelector_TA                                          - Instance: 0x2A3D0040C00
Class: GameInfo_Cinematic_TA                                   - Instance: 0x2A3D0040800
Class: PlayerController_Cinematic_TA                           - Instance: 0x2A3D0040400
Class: GameInfo_CollisionTest_TA                               - Instance: 0x2A3CFFE7C00
Class: GameInfo_Entry_TA                                       - Instance: 0x2A3CFFE7800
Class: LoadingScreen_TA                                        - Instance: 0x2A3CFFE7400
Class: GameInfo_Football_TA                                    - Instance: 0x2A3CFFE7000
Class: GameInfo_FTE_TA                                         - Instance: 0x2A3CFFE6C00
Class: GameInfo_GameEditor_TA                                  - Instance: 0x2A3CFFE6800
Class: MusicStingersPreviewer_TA                               - Instance: 0x2A3CFFE6400
Class: PostMatchCelebrationPreviewer_TA                        - Instance: 0x2A3CFFE6000
Class: GFxData_MenuSequence_TA                                 - Instance: 0x2A3CFFE5C00
Class: GameInfo_GodBall_TA                                     - Instance: 0x2A3CFFE5800
Class: GameInfo_Hockey_TA                                      - Instance: 0x2A3CFFE5400
Class: GameInfo_Items_TA                                       - Instance: 0x2A3CFFE5000
Class: GameInfo_KnockOut_TA                                    - Instance: 0x2A3CFFE4C00
Class: GameInfo_PerfTest_TA                                    - Instance: 0x2A3CFFE4800
Class: PostProcessManager_TA                                   - Instance: 0x2A3CFFE4400
Class: GameInfo_Season_TA                                      - Instance: 0x2A3CFFDBC00
Class: GameInfo_TrainingEditor_TA                              - Instance: 0x2A3CFFDB800
Class: GameInfo_Transition_TA                                  - Instance: 0x2A3CFFDB400
Class: GameInfo_Tutorial_TA                                    - Instance: 0x2A3CFFDB000
Class: SeqEvent_TutorialHelper_TA                              - Instance: 0x2A3CFFDAC00
Class: GameModesConfig_TA                                      - Instance: 0x2A3CFFDA800
Class: GameMusicComponent_TA                                   - Instance: 0x2A3CFFDA400
Class: TourServerInfo_TA                                       - Instance: 0x2A3CFFDA000
Class: PlaylistSettings_TA                                     - Instance: 0x2A3CFFD9C00
Class: OverlayInteractionEGS_TA                                - Instance: 0x2A3CFFD9800
Class: GarageArchiveSlot_TA                                    - Instance: 0x2A3CFFD9400
Class: ProductAttribute_Archived_TA                            - Instance: 0x2A3CFFD8C00
Class: GarageFavoritedSlot_TA                                  - Instance: 0x2A3CFFD8800
Class: GarageSlotDropGroup_TA                                  - Instance: 0x2A3CFFD8400
Class: GFxData_GarageSlotDropGroup_TA                          - Instance: 0x2A3CFF87C00
Class: GFxData_GenericNotification_TA                          - Instance: 0x2A3CFF87800
Class: GetUploadUrlsMatch_TA                                   - Instance: 0x2A3CFF87400
Class: GetUploadUrlsPlayer_TA                                  - Instance: 0x2A3CFF87000
Class: GFxData_AdHoc_TA                                        - Instance: 0x2A3CFF86C00
Class: GFxData_AutoTour_CompletedResults_TA                    - Instance: 0x2A3CFF86800
Class: RPC_AutoTour_GetCompletedResult_TA                      - Instance: 0x2A3CFF86400
Class: PsyNetService_AutoTourCompletedResultReceived_TA        - Instance: 0x2A3CFF86000
Class: GFxData_AutoTour_TA                                     - Instance: 0x2A3CFF85C00
Class: GFxData_AutoTour_Week_TA                                - Instance: 0x2A3CFF85800
Class: PsyNetService_AutoTourReceiveBan_TA                     - Instance: 0x2A3CFF85400
Class: PsyNetService_AutoTourReceiveBannedPartyMembers_TA      - Instance: 0x2A3CFF85000
Class: PsyNetService_AutoTourNotFound_TA                       - Instance: 0x2A3CFF84C00
Class: GFxData_Matchmaking_TA                                  - Instance: 0x2A3CFF84800
Class: GFxModal_CurrencyMessage_TA                             - Instance: 0x2A3CFF84400
Class: TourCheckInWindowWatcher_TA                             - Instance: 0x2A3CFF6FC00
Class: GFxData_BanManager_TA                                   - Instance: 0x2A3CFF6F800
Class: GFxData_BanMessage_TA                                   - Instance: 0x2A3CFF6F400
Class: GFxData_BlogTile_TA                                     - Instance: 0x2A3CFF6F000
